country,city,venue,googlemaps_search_text,googlemaps_hyperlink,find1,find2,find3,link_y,link_x,test_coordinates,city_disambiguation
USA,Washington,Malcolm X Park,"Malcolm X Park, Washington, USA","https://www.google.com/maps/place/Meridian+Hill+Park/@38.9210916,-77.036072,19.52z/data=!4m5!3m4!1s0x89b7b7ddd02c95d9:0x668551deadd9469f!8m2!3d38.9210639!4d-77.0358109",54,65,76,38.9210916,-77.036072,"38.9210916, -77.036072",
USA,Washington,Pirate House / Brendan's Going Away Party,"Pirate House / Brendan's Going Away Party, Washington, USA","https://www.google.com/maps/place/3204+17th+St+NW,+Washington,+DC+20010,+USA/@38.931732,-77.0387721,18z/data=!4m6!3m5!1s0x89b7c8215321d741:0xca1e8adc30c11891!8m2!3d38.9318216!4d-77.039085!16s%2Fg%2F11c2cj4hqr",78,88,100,38.931732,-77.0387721,"38.931732, -77.0387721",
USA,Washington,Sacred Heart Church Hall,"Sacred Heart Church Hall, Washington, USA","https://www.google.com/maps/place/Shrine+of+the+Sacred+Heart/@38.9310756,-77.036296,19.86z/data=!4m5!3m4!1s0x89b7c818ae33b2a5:0xbab3e6292687f491!8m2!3d38.9311635!4d-77.0359619",62,73,84,38.9310756,-77.036296,"38.9310756, -77.036296",
USA,Washington,Sanctuary Theater,"Sanctuary Theater, Washington, USA","https://www.google.com/maps/place/Sanctuary+At+Admiral/@47.5794484,-122.3850059,21z/data=!4m5!3m4!1s0x549040661557d243:0x39bb92694a24401!8m2!3d47.5794925!4d-122.3850183",56,67,80,47.5794484,-122.3850059,"47.5794484, -122.3850059",
USA,Washington,Smithsonian Folklife Festival / National Mall,"Smithsonian Folklife Festival / National Mall, Washington, USA","https://www.google.com/maps/place/38%C2%B053'22.4%22N+77%C2%B001'36.7%22W/@38.8895556,-77.0268611,17z/data=!4m4!3m3!8m2!3d38.8895556!4d-77.0268611",75,86,98,38.8895556,-77.0268611,"38.8895556, -77.0268611",
USA,Washington,St. Augustine's Church Hall,"St. Augustine's Church Hall, Washington, USA","https://www.google.com/maps/search/St.+Augustine's+Church+Hall,+Washington,+USA/@38.9183004,-77.0343509,20z",81,92,104,38.9183004,-77.0343509,"38.9183004, -77.0343509",
USA,Washington,St. Stephen's Church Cafeteria,"St. Stephen's Church Cafeteria, Washington, USA","https://www.google.com/maps/place/1525+Newton+St+NW,+Washington,+DC+20010,+USA/@38.933469,-77.0357597,19z/data=!4m6!3m5!1s0x89b7c8224927009d:0x81d5a5e74a3efa3d!8m2!3d38.9334824!4d-77.0357195!16s%2Fg%2F11c2hrcjkj",80,90,102,38.933469,-77.0357597,"38.933469, -77.0357597",
USA,Washington,St. Stephen's Church Hall,"St. Stephen's Church Hall, Washington, USA","https://www.google.com/maps/place/1525+Newton+St+NW,+Washington,+DC+20010,+USA/@38.933469,-77.0357597,19z/data=!4m6!3m5!1s0x89b7c8224927009d:0x81d5a5e74a3efa3d!8m2!3d38.9334824!4d-77.0357195!16s%2Fg%2F11c2hrcjkj",80,90,102,38.933469,-77.0357597,"38.933469, -77.0357597",
USA,Washington,Sylvan Theater,"Sylvan Theater, Washington, USA","https://www.google.com/maps/place/Sylvan+Theater/@38.8883593,-77.034624,20.91z/data=!4m5!3m4!1s0x89b7b7a1bdf6bffb:0x84a633068b5dc4ff!8m2!3d38.8883575!4d-77.0345214",50,61,72,38.8883593,-77.034624,"38.8883593, -77.034624",
USA,Washington,US Capitol Plaza Supreme Court,"US Capitol Plaza Supreme Court, Washington, USA","https://www.google.com/maps/place/Supreme+Court+of+the+United+States/@38.8905705,-77.0069332,19z/data=!4m5!3m4!1s0x89b7b828d32c69bb:0xffb704728ee19592!8m2!3d38.8906396!4d-77.0050676",70,81,93,38.8905705,-77.0069332,"38.8905705, -77.0069332",
USA,Washington,Wilson Center,"Wilson Center, Washington, USA","https://www.google.com/maps/place/The+Wilson+Center/@38.8934297,-77.030587,19.6z/data=!4m5!3m4!1s0x89b7b79762f518d1:0x3e73088a9489b574!8m2!3d38.8934586!4d-77.0303701",53,64,75,38.8934297,-77.030587,"38.8934297, -77.030587",
USA,New York,Barnard College Cafeteria,"Barnard College Cafeteria, New York, USA","https://www.google.com/maps/search/Barnard+College+Cafeteria,+New+York,+USA/@40.8095145,-73.963595,17z",77,88,99,40.8095145,-73.963595,"40.8095145, -73.963595",
USA,New York,Columbia University,"Columbia University, New York, USA","https://www.google.com/maps/place/Columbia+University,+New+York,+NY+10027,+United+States/@40.8075355,-73.9625727,17z/data=!4m6!3m5!1s0x89c2f63e96d30dc9:0x577933f947e52750!8m2!3d40.8075355!4d-73.9625727!16zL20vMDF3NW0",90,101,113,40.8075355,-73.9625727,"40.8075355, -73.9625727",
USA,New York,Irving Plaza,"Irving Plaza, New York, USA","https://www.google.com/maps/place/Irving+Plaza,+17+Irving+Pl,+New+York,+NY+10003,+United+States/@40.7348818,-73.9884409,19z/data=!4m12!1m5!3m4!2s40.734812,+-73.988208!8m2!3d40.7348117!4d-73.9882075!3m5!1s0x89c2599f49ef3ae9:0xfef9fa6b6a342ec2!8m2!3d40.734929!4d-73.988448!16zL20vMGM1aHZw",97,108,120,40.7348818,-73.9884409,"40.7348818, -73.9884409",
USA,New York,Marquee,"Marquee, New York, USA","https://www.google.com/maps/place/Marquee+New+York,+289+10th+Ave,+New+York,+NY+10001,+United+States/@40.7500995,-74.0028054,17z/data=!4m6!3m5!1s0x89c259b71ae50907:0x47ebbcc9a4b5fea5!8m2!3d40.7500995!4d-74.0028054!16s%2Fg%2F12xq_n9qd",101,112,124,40.7500995,-74.0028054,"40.7500995, -74.0028054",
USA,New York,NYU Loeb Center,"NYU Loeb Center, New York, USA","https://www.google.com/maps/place/Kimmel+Center+for+University+Life,+60+Washington+Square+S,+New+York,+NY+10012,+United+States/@40.7299366,-73.9978275,17z/data=!4m6!3m5!1s0x89c25991aaf1649f:0x8e1fd6bc178ccfb8!8m2!3d40.7299366!4d-73.9978275!16s%2Fg%2F120kn3l4",128,139,151,40.7299366,-73.9978275,"40.7299366, -73.9978275",
USA,New York,NYU Student Union,"NYU Student Union, New York, USA","https://www.google.com/maps/place/60+Washington+Square+S,+New+York,+NY+10012,+USA/@40.7299045,-73.9978599,19z/data=!4m14!1m7!3m6!1s0x89c25991ab807c53:0x2fcd8f5a04fdb09f!2s60+Washington+Square+S,+New+York,+NY+10012,+USA!8m2!3d40.7297809!4d-73.9978657!16s%2Fg%2F12hm7ysqw!3m5!1s0x89c25991ab807c53:0x2fcd8f5a04fdb09f!8m2!3d40.7297809!4d-73.9978657!16s%2Fg%2F12hm7ysqw",83,94,106,40.7299045,-73.9978599,"40.7299045, -73.9978599",
USA,New York,Palladium,"Palladium, New York, USA","https://www.google.com/maps/search/Palladium,+New+York,+USA/@40.7507356,-73.9873358,19z",61,72,84,40.7507356,-73.9873358,"40.7507356, -73.9873358",
USA,New York,Ritz,"Ritz, New York, USA","https://www.google.com/maps/place/The+Ritz-Carlton+New+York,+Central+Park,+50+Central+Park+S,+New+York,+NY+10019,+United+States/@40.7652719,-73.9759992,17z/data=!4m6!3m5!1s0x89c258f0c05d23e3:0xdcf3272e0865cda9!8m2!3d40.7652719!4d-73.9759992!16s%2Fg%2F1tfjm0s3",129,140,152,40.7652719,-73.9759992,"40.7652719, -73.9759992",
USA,New York,Roseland Ballroom,"Roseland Ballroom, New York, USA","https://www.google.com/maps/place/Roseland+Ballroom,+239+W+52nd+St,+New+York,+NY+10019,+United+States/@40.7632592,-73.9839337,16z/data=!4m6!3m5!1s0x89c25857c8dfea1d:0x6c0e0ed42d25b199!8m2!3d40.7632592!4d-73.9839337!16zL20vMGM4N2wy",103,114,126,40.7632592,-73.9839337,"40.7632592, -73.9839337",
USA,New York,Roxy,"Roxy, New York, USA","https://www.google.com/maps/place/Roxy+Cinema+New+York,+2+6th+Avenue+Cellar+Level,+New+York,+NY+10013,+United+States/@40.7194085,-74.0049093,17z/data=!4m6!3m5!1s0x89c2598a9717144b:0x88536ee707309620!8m2!3d40.7194085!4d-74.0049093!16s%2Fg%2F11c30_xrrt",118,129,141,40.7194085,-74.0049093,"40.7194085, -74.0049093",
USA,Portland,58 Fore St.,"58 Fore St., Portland, USA","https://www.google.com/maps/place/58+Fore+St,+Portland,+ME+04101,+USA/@43.663166,-70.2434942,17z/data=!4m6!3m5!1s0x4cb29c438378dabf:0xbae676ca9e09d44!8m2!3d43.663166!4d-70.2434942!16s%2Fg%2F11b8vf4lk3",71,81,93,43.663166,-70.2434942,"43.663166, -70.2434942",Portland (ME)
USA,Portland,Asylum,"Asylum, Portland, USA","https://www.google.com/maps/place/Asylum,+121+Center+St,+Portland,+ME+04101,+United+States/@43.6565853,-70.2589916,17z/data=!4m6!3m5!1s0x4cb29c14f75aaaab:0xd50454795ac184!8m2!3d43.6565853!4d-70.2589916!16s%2Fg%2F11fnyph_57",92,103,115,43.6565853,-70.2589916,"43.6565853, -70.2589916",Portland (ME)
USA,Portland,Crystal Ballroom,"Crystal Ballroom, Portland, USA","https://www.google.com/maps/place/McMenamins+Crystal+Ballroom,+1332+W+Burnside+St,+Portland,+OR+97209,+United+States/@45.5228361,-122.684884,17z/data=!4m6!3m5!1s0x54950a02e43decb9:0xe289ad93ad758c66!8m2!3d45.5228361!4d-122.684884!16s%2Fm%2F03cb572",118,129,141,45.5228361,-122.684884,"45.5228361, -122.684884",Portland (OR)
USA,Portland,Father Hayes Gym Bar,"Father Hayes Gym Bar, Portland, USA","https://www.google.com/maps/place/699+Stevens+Ave,+Portland,+ME+04103,+USA/@43.6822311,-70.2934803,15z/data=!4m6!3m5!1s0x4cb29ba05c08560b:0xa6afa194c73c73f5!8m2!3d43.6822311!4d-70.2934803!16s%2Fg%2F11c1dspjp0?gl=cl",76,87,99,43.6822311,-70.2934803,"43.6822311, -70.2934803",Portland (ME)
USA,Portland,La Luna,"La Luna, Portland, USA","https://www.google.com/maps/place/SE+9th+Ave+%26+SE+Pine+St,+Portland,+OR+97214,+USA/@45.520777,-122.6565613,17z/data=!4m6!3m5!1s0x5495a0a4327a9c53:0xb8a205459f1f1d74!8m2!3d45.520777!4d-122.6565613!16s%2Fg%2F11gdrh4yqv",86,96,109,45.520777,-122.6565613,"45.520777, -122.6565613",Portland (OR)
USA,Portland,Melody Ballroom,"Melody Ballroom, Portland, USA","https://www.google.com/maps/place/The+Melody+Event+Center,+615+SE+Alder+St+Suite+B,+Portland,+OR+97214,+United+States/@45.5180556,-122.6594444,17z/data=!4m6!3m5!1s0x5495a0a72f2e111d:0x1df61610e98e4bb9!8m2!3d45.5180556!4d-122.6594444!16s%2Fg%2F1tht14z9",119,130,143,45.5180556,-122.6594444,"45.5180556, -122.6594444",Portland (OR)
USA,Portland,Pine Street Theater,"Pine Street Theater, Portland, USA","https://www.google.com/maps/place/SE+9th+Ave+%26+SE+Pine+St,+Portland,+OR+97214,+USA/@45.5207801,-122.6566134,19z/data=!4m6!3m5!1s0x5495a0a4327a9c53:0xb8a205459f1f1d74!8m2!3d45.520777!4d-122.6565613!16s%2Fg%2F11gdrh4yqv",86,97,110,45.5207801,-122.6566134,"45.5207801, -122.6566134",Portland (OR)
USA,Portland,"Sullivan Gym, U. of S. Maine","Sullivan Gym, U. of S. Maine, Portland, USA","https://www.google.com/maps/place/Sullivan+Recreation+and+Fitness+Complex,+66+Falmouth+St,+Portland,+ME+04103,+United+States/@43.6635352,-70.2755658,17z/data=!4m6!3m5!1s0x4cb29c7574713887:0x510769c3794c1bf3!8m2!3d43.6635352!4d-70.2755658!16s%2Fg%2F11dxl6pc9r",126,137,149,43.6635352,-70.2755658,"43.6635352, -70.2755658",Portland (ME)
USA,Portland,Zootz,"Zootz, Portland, USA","https://www.google.com/maps/place/19+Forest+Ave,+Portland,+ME+04101,+USA/@43.6551839,-70.2632702,18z/data=!4m5!3m4!1s0x4cb29c13ef685f83:0x663bfd933f7b87b6!8m2!3d43.6552592!4d-70.2632734",74,85,97,43.6551839,-70.2632702,"43.6551839, -70.2632702",Portland (ME)
Australia,Sydney,Burland Centre,"Burland Centre, Sydney, Australia","https://www.google.com/maps/place/Harry+Burland+Activity+Centre,+132-134+Shepherd+St,+Darlington+NSW+2008,+Australia/@-33.8892326,151.1948209,18z/data=!4m9!1m2!2m1!1sBurland+Center,+Sydney,+Australia!3m5!1s0x6b12b1d6e7d3d159:0x2b8de4485616314a!8m2!3d-33.8893014!4d151.1949782!16s%2Fg%2F11g8cs05kz",118,130,142,-33.8892326,151.1948209,"-33.8892326, 151.1948209",
Australia,Sydney,Manly Youth Center,"Manly Youth Center, Sydney, Australia","https://www.google.com/maps/search/Manly+Youth+Center,+Sydney,+Australia/@-33.7946915,151.2843235,20z",74,86,98,-33.7946915,151.2843235,"-33.7946915, 151.2843235",
Australia,Sydney,Metro,"Metro, Sydney, Australia","https://www.google.com/maps/place/Metro+Theatre,+624+George+St,+Sydney+NSW+2000,+Australia/@-33.8756118,151.2066704,19z/data=!4m6!3m5!1s0x6b12ae3c582c0415:0x511be83bed3964af!8m2!3d-33.8756438!4d151.2066562!16zL20vMDZmMnRs",92,104,116,-33.8756118,151.2066704,"-33.8756118, 151.2066704",
Australia,Sydney,Sydney Town hall,"Sydney Town hall, Sydney, Australia","https://www.google.com/maps/place/Sydney+Town+Hall,+483+George+St,+Sydney+NSW+2000,+Australia/@-33.8730546,151.2061557,19z/data=!4m6!3m5!1s0x6b12ae3c27682c85:0xb1663d1d054300f6!8m2!3d-33.8731575!4d151.2061157!16zL20vMDhxYmxo",95,107,119,-33.8730546,151.2061557,"-33.8730546, 151.2061557",
Australia,Sydney,Sydney Uni,"Sydney Uni, Sydney, Australia","https://www.google.com/maps/place/The+University+of+Sydney,+Camperdown+NSW+2006,+Australia/@-33.8885748,151.1873494,17z/data=!4m6!3m5!1s0x6b12b1d4ab9ef1d9:0x1d017d69037a07c0!8m2!3d-33.8885748!4d151.1873494!16zL20vMDd2azI",92,104,116,-33.8885748,151.1873494,"-33.8885748, 151.1873494",
Australia,Sydney,Sydney University,"Sydney University, Sydney, Australia","https://www.google.com/maps/place/The+University+of+Sydney,+Camperdown+NSW+2006,+Australia/@-33.8885748,151.1873494,17z/data=!4m6!3m5!1s0x6b12b1d4ab9ef1d9:0x1d017d69037a07c0!8m2!3d-33.8885748!4d151.1873494!16zL20vMDd2azI",92,104,116,-33.8885748,151.1873494,"-33.8885748, 151.1873494",
Australia,Sydney,Uni Manning Bar,"Uni Manning Bar, Sydney, Australia","https://www.google.com/maps/place/Manning+Bar,+Manning+House,+Manning+Rd,+Camperdown+NSW+2050,+Australia/@-33.8868904,151.1876221,17z/data=!4m6!3m5!1s0x6b12b1d51c33f4d5:0x338b4133d095c3b9!8m2!3d-33.8868904!4d151.1876221!16s%2Fm%2F0k70f3z",106,118,130,-33.8868904,151.1876221,"-33.8868904, 151.1876221",
USA,Houston,Axiom,"Axiom, Houston, USA","https://www.google.com/maps/place/2524+McKinney+St,+Houston,+TX+77003,+USA/@29.7486073,-95.3514947,19z/data=!4m6!3m5!1s0x8640bee024857987:0x6d2eb19c85545c9d!8m2!3d29.7486049!4d-95.351495!16s%2Fg%2F11c1dvtq1_",76,87,99,29.7486073,-95.3514947,"29.7486073, -95.3514947",
USA,Houston,D&I Colonial Hall,"D&I Colonial Hall, Houston, USA","https://www.google.com/maps/place/6610+Capitol+St,+Houston,+TX+77011,+USA/@29.7363192,-95.3098083,18z/data=!4m6!3m5!1s0x8640bc29e7659569:0x9cb708d5e12f4619!8m2!3d29.7361843!4d-95.3098044!16s%2Fg%2F11c13sb8fd?gl=cl",75,86,98,29.7363192,-95.3098083,"29.7363192, -95.3098083",
USA,Houston,Fitzgerald's,"Fitzgerald's, Houston, USA","https://www.google.com/maps/place/2706+White+Oak+Dr,+Houston,+TX+77007,+USA/@29.7818262,-95.3879991,19z/data=!4m6!3m5!1s0x8640b8af39e283d7:0x1f19a9249fa5b43f!8m2!3d29.7818972!4d-95.388082!16s%2Fg%2F11b8v47jx0",77,88,100,29.7818262,-95.3879991,"29.7818262, -95.3879991",
USA,Houston,Homage,"Homage, Houston, USA","https://www.google.com/maps/place/2204+Louisiana+St,+Houston,+TX+77002,+USA/@29.7494937,-95.375154,20z/data=!4m6!3m5!1s0x8640bf6a829adc67:0x54a43d8886547689!8m2!3d29.7494317!4d-95.3751028!16s%2Fg%2F11bw3zyfnl",77,88,99,29.7494937,-95.375154,"29.7494937, -95.375154",
USA,Houston,International Ballroom,"International Ballroom, Houston, USA","https://www.google.com/maps/place/The+Fountain+of+Praise+Ministry+%26+Operations+Center,+14075+S+Main+St,+Houston,+TX+77035,+United+States/@29.6351461,-95.49398,19z/data=!4m6!3m5!1s0x8640e987f336208d:0xa89aa0f3c60ac906!8m2!3d29.6354168!4d-95.494178!16s%2Fg%2F11h61lc_mh",140,151,161,29.6351461,-95.49398,"29.6351461, -95.49398",
USA,Houston,Phoenix Ballroom,"Phoenix Ballroom, Houston, USA","https://www.google.com/maps/place/15152+Bellaire+Blvd,+Houston,+TX+77083,+USA/@29.7014137,-95.6546244,19z/data=!4m6!3m5!1s0x8640de70f034aa41:0x3bec0a4239e5856e!8m2!3d29.7015289!4d-95.6545972!16s%2Fg%2F11f3mbvb9j",79,90,102,29.7014137,-95.6546244,"29.7014137, -95.6546244",
USA,Houston,Powertools,"Powertools, Houston, USA","https://www.google.com/maps/place/709+Franklin+St,+Houston,+TX+77002,+USA/@29.764455,-95.3621643,19z/data=!4m6!3m5!1s0x8640bf2e2ccc35bd:0x4ba5b42e9344dcd0!8m2!3d29.7644561!4d-95.3621633!16s%2Fg%2F11b8vd8jx_",75,85,97,29.764455,-95.3621643,"29.764455, -95.3621643",
England,London,Boston Arms,"Boston Arms, London, England","https://www.google.com/maps/place/Boston+Arms,+178+Junction+Rd,+London+N19+5QQ,+United+Kingdom/@51.5570758,-0.1384635,20z/data=!4m6!3m5!1s0x48761baa61d60869:0x6c897bd72876ff27!8m2!3d51.5570868!4d-0.138468!16s%2Fg%2F12214dplk",96,107,118,51.5570758,-0.1384635,"51.5570758, -0.1384635",
England,London,Brixton Academy,"Brixton Academy, London, England","https://www.google.com/maps/place/O2+Academy+Brixton,+211+Stockwell+Rd,+London+SW9+9SL,+United+Kingdom/@51.4656331,-0.1149457,19z/data=!4m6!3m5!1s0x487604670f2a552f:0xf4e12a721c7cd189!8m2!3d51.4656337!4d-0.1149728!16zL20vMDM2Nmdi",104,115,126,51.4656331,-0.1149457,"51.4656331, -0.1149457",
England,London,Forum,"Forum, London, England","https://www.google.com/maps/place/O2+Forum+Kentish+Town,+9-17+Highgate+Rd,+London+NW5+1JY,+United+Kingdom/@51.5521681,-0.1421312,18z/data=!4m9!1m2!2m1!1sForum,+London,+England!3m5!1s0x48761afe06768a01:0x745ba0878c0275ce!8m2!3d51.552197!4d-0.141969!16zL20vMDVxNnNs",107,118,129,51.5521681,-0.1421312,"51.5521681, -0.1421312",
England,London,Kilburn National,"Kilburn National, London, England","https://www.google.com/maps/place/Kilburn+High+Rd,+London+NW6+4JP,+UK/@51.5425942,-0.1982905,18z/data=!4m6!3m5!1s0x48761071be577ee7:0xcd7bcd574e97b518!8m2!3d51.542525!4d-0.198272!16s%2Fg%2F11b8txlv6j",71,82,93,51.5425942,-0.1982905,"51.5425942, -0.1982905",
England,London,Rex,"Rex, London, England","https://www.google.com/maps/place/Argos+Stratford,+58+The+Broadway,+London+E15+1NG,+United+Kingdom/@51.5420297,0.0025363,19z/data=!4m6!3m5!1s0x47d8a7898eb4310d:0xa58615b49c6c4c39!8m2!3d51.5420602!4d0.0024779!16s%2Fg%2F1tqtx44d",100,111,121,51.5420297,0.0025363,"51.5420297, 0.0025363",
England,London,Sir George Robey,"Sir George Robey, London, England","https://www.google.com/maps/place/51%C2%B033'47.3%22N+0%C2%B006'26.2%22W/@51.5631429,-0.1072634,19z/data=!4m4!3m3!8m2!3d51.563147!4d-0.107264",74,85,96,51.5631429,-0.1072634,"51.5631429, -0.1072634",
Germany,Berlin,Ex,"Ex, Berlin, Germany","https://www.google.com/maps/place/Mehringhof,+Gneisenaustra%C3%9Fe+2A,+10961+Berlin,+Germany/@52.4924633,13.388464,20z/data=!4m6!3m5!1s0x47a85028f7195e29:0x1ff8f4ca42e584c0!8m2!3d52.4924837!4d13.3884264!16s%2Fg%2F123658b7",94,105,115,52.4924633,13.388464,"52.4924633, 13.388464",
Germany,Berlin,Menza,"Menza, Berlin, Germany","https://www.google.com/maps/place/Marchstra%C3%9Fe+23,+10587+Berlin,+Germany/@52.516557,13.3236036,19z/data=!4m6!3m5!1s0x47a8511b0709b905:0x5731d340466368bc!8m2!3d52.5165831!4d13.32359!16s%2Fg%2F11b6ydh41m",78,88,99,52.516557,13.3236036,"52.516557, 13.3236036",
Germany,Berlin,Neue Welt,"Neue Welt, Berlin, Germany","https://www.google.com/maps/search/Neue+Welt,+Berlin,+Germany/@52.4867934,13.4217799,19z",63,74,85,52.4867934,13.4217799,"52.4867934, 13.4217799",
Germany,Berlin,SO 36,"SO 36, Berlin, Germany","https://www.google.com/maps/place/SO36,+Oranienstra%C3%9Fe+190,+10999+Berlin,+Germany/@52.5003761,13.4221024,19z/data=!4m6!3m5!1s0x47a84e345f157c27:0x3e57a93e13cd2a78!8m2!3d52.5003921!4d13.4221018!16s%2Fm%2F04gvm7g",87,98,109,52.5003761,13.4221024,"52.5003761, 13.4221024",
Germany,Berlin,Tempodrome,"Tempodrome, Berlin, Germany","https://www.google.com/maps/place/Kongresshalle,+John-Foster-Dulles-Allee+10,+10557+Berlin,+Germany/@52.5185909,13.3649273,14z/data=!4m6!3m5!1s0x47a851bbbf269edb:0x18bee690d0a85795!8m2!3d52.5189052!4d13.3647888!16s%2Fg%2F121vf3j2",101,112,123,52.5185909,13.3649273,"52.5185909, 13.3649273",
Germany,Berlin,TU Mensa,"TU Mensa, Berlin, Germany","https://www.google.com/maps/place/Marchstra%C3%9Fe+23,+10587+Berlin,+Germany/@52.516557,13.3236036,19z/data=!4m6!3m5!1s0x47a8511b0709b905:0x5731d340466368bc!8m2!3d52.5165831!4d13.32359!16s%2Fg%2F11b6ydh41m",78,88,99,52.516557,13.3236036,"52.516557, 13.3236036",
USA,Chicago,Aragon Ballroom,"Aragon Ballroom, Chicago, USA","https://www.google.com/maps/place/Byline+Bank+Aragon+Ballroom/@41.9693677,-87.6581433,19.82z/data=!4m5!3m4!1s0x880fd3d34ae18de9:0x30c89f9ebb8eb5fc!8m2!3d41.9693569!4d-87.6578703",63,74,86,41.9693677,-87.6581433,"41.9693677, -87.6581433",
USA,Chicago,Club Dreamerz,"Club Dreamerz, Chicago, USA","https://www.google.com/maps/place/1516+N+Milwaukee+Ave,+Chicago,+IL+60622,+USA/@41.9089026,-87.6758186,20z/data=!4m5!3m4!1s0x880fd2c706c61b69:0x37b746c6af5384b5!8m2!3d41.9088946!4d-87.6756673",80,91,103,41.9089026,-87.6758186,"41.9089026, -87.6758186",
USA,Chicago,Congress Theater,"Congress Theater, Chicago, USA","https://www.google.com/maps/place/Congress+Theater/@41.9201213,-87.6928397,19.6z/data=!4m5!3m4!1s0x880fd29935bb5771:0x8e217851c5f5f1ef!8m2!3d41.920122!4d-87.6925679",52,63,75,41.9201213,-87.6928397,"41.9201213, -87.6928397",
